T_mid,Uncertainty,Epoch,Valid,Label,T_mid_pre
2456514.4106,0.0001,0,True,data,2456514.410670841
2457584.32975,1.1e-05,187,True,data,2457584.329742756
2457904.73315165,4.65414486825466e-05,243,True,data,2457904.733216815
2457910.45465204,4.581268876791e-05,244,True,data,2457910.4547070116
2458579.86858,0.0004288,361,True,data,2458579.868960298
2458591.3117,0.0003547,363,True,data,2458591.311937268
2459958.7472954667,2.6821435312740505e-05,602,True,data,2459958.747269177
2459964.4687631093,1.5492048987653106e-05,603,True,data,2459964.468754188
2460107.5058620293,9.6392e-06,628,True,data,2460107.5058747684
2460118.948866972,4.24554746132344e-05,630,True,data,2460118.948844025
2460130.391898555,3.379942063475028e-05,632,True,data,2460130.3918132237
